微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
https://www.weibo.com/2950067423/MiauYvsfu,#大截图运动#一个沙币的截图，那些蛆虫就喜欢干这个。  ,无,无,无,2022-12-05 13:06,iPhone客户端,0,1,1
https://www.weibo.com/2950067423/MhoAp3E4a,#石家庄核酸造假#等着吧，还想着解封？  ,无,无,无,2022-11-30 11:08,iPhone客户端,1,0,0
https://www.weibo.com/2950067423/MhiTi4nx6,脑残们，找了个之前要求给宝宝家急出核酸的来bb.没有就医的这些限制谁稀罕做核酸一样。现在又大规模核酸造假，#已有超11家核酸检测机构造假被查#孝子贤孙们赶紧去吧。世界杯看不看，那么多国家都放开了，当自己最聪明一样，等着早晚放开，吓死你们！早晚国家政策调整的那一天，赶紧找个小屋猫起来别出...全文 ,无,无,无,2022-11-29 20:38,iPhone客户端,0,0,32
